,cs_L3_2,dcs_L2,dcs_L3,dcs_L3_2,dr_2,dunem_L3_2,edcs_L1,edcs_L2,edcs_L2_2,spr,spr_2,spr_L3,spr_L3_2,syc_L3_2,tr10_2,y
1998-06-06,0.2512625589690868,2.5184863263717808e-14,-2.5182834109902382e-14,2.1715223441429525e-29,0.15976568347819475,0.0,0.05493246236150195,0.05533970986162442,0.00013233772919794666,0.12070203306214233,0.005832062561651936,-0.8083751789900806,0.2618067112399153,0.00016962862523450564,2.8712075566855146,0
1998-06-07,0.2512625589690875,-2.5184863263717808e-14,2.5182834109902382e-14,2.1715223441429525e-29,0.16047075056217738,0.0,0.05452968626974933,0.05493245470837207,0.00013039710067390436,0.1896689925679152,0.01440076881577465,-0.32690508796644197,0.04281522148611869,4.2407156308622644e-05,2.8712075566855146,0
1998-06-08,0.2512625589690868,0.0,-2.5182834109902382e-14,2.1715223441429525e-29,0.16117736999980412,0.0,0.05413132385248378,0.05452967867273376,0.00012849191435729428,0.14577254106800125,0.008506373585647741,0.12064904690292735,0.0058318000577677045,0.0,2.8712075566855146,0
1998-06-09,0.2512625589690868,0.0,0.0,0.0,0.1618855417910751,0.0,0.05373731085692085,0.05413131631096763,0.00012662139632843165,-0.015153008652566644,9.191592159565269e-05,0.12064904690292735,0.0058318000577677045,0.0,2.8815078445826945,1
1998-06-10,0.2512625589690868,0.0,0.0,0.0,0.1625952659359902,0.0,0.053347584195206896,0.05373730337029815,0.0001247847923124161,-0.055232827384386014,0.001221202133830722,0.18958573107526766,0.014400120630383961,0.0,2.799621939007974,0
1998-06-11,0.2512625589690868,-0.28355635202463497,0.0,0.0,0.1633065424345493,0.0,0.052962081919197074,0.05334757676288049,0.00012298136711073375,-0.3732846028759023,0.05577931246873229,0.14570854937809968,0.008505990709764065,0.0,2.7289400171352005,1
1998-06-12,0.2434719473994888,0.5671127040492951,-0.2835335057837174,0.002752731602961708,0.16401937128675256,0.0,0.052580743195861666,0.05296207454057841,0.0001212104040520063,-0.27320942429416734,0.029880258882006103,-0.015146356737029833,9.191178441670674e-05,4.2407156308622644e-05,2.7189163708109065,0
1998-06-13,0.2591758573350571,-2.5184863263717808e-14,0.56706701156746,0.01101092641184781,0.1647337524926,0.0,0.05220350828332085,0.052580735870370696,0.00011947120446043392,-0.27320942429416734,0.029880258882006103,-0.055208581103594896,0.0012211471669471925,0.0006785145009379924,2.7189163708109065,0
1998-06-14,0.2591758573350564,2.5184863263717808e-14,-2.5182834109902382e-14,2.1715223441429525e-29,0.16544968605209157,0.0,0.051830318507309375,0.05220350101038583,0.00011776308714138225,-0.27320942429416734,0.029880258882006103,-0.3731207372234464,0.055776801815592345,4.2407156308622644e-05,2.7189163708109065,1
1998-06-15,0.2591758573350571,0.0,2.5182834109902382e-14,2.1715223441429525e-29,0.16616717196522726,0.0,0.05146111623848137,0.05183031128636674,0.00011608538788269292,-0.4056036846673877,0.06585621807636523,-0.27308948995928145,0.029878913957472896,0.0,2.6690747807623296,0
