Date,Open
2017-03-23,132.54
2017-03-22,136.07
2017-03-21,141.02
2017-03-20,152.93
2017-03-17,154.34
2017-03-16,149.49
2017-03-15,147.2
2017-03-14,146.11
2017-03-13,145.75
2017-03-10,138.99
2017-03-09,139.48
2017-03-08,139.63
2017-03-07,138.85
2017-03-06,140.17
2017-03-03,136.1
2017-03-02,133.36
2017-03-01,132.16
2017-02-28,131.98
2017-02-27,134.39
2017-02-24,138.66
2017-02-23,137.91
2017-02-22,138.24
2017-02-21,136.93
2017-02-17,141.13
2017-02-16,141.41
2017-02-15,137.55
2017-02-14,133.66
2017-02-13,130.1
2017-02-10,130.47
2017-02-09,129.19
2017-02-08,134.01
2017-02-07,130.46
2017-02-06,131.41
2017-02-03,133.25
2017-02-02,136.65
2017-02-01,133.97
2017-01-31,138.08
2017-01-30,134.32
2017-01-27,129.95
2017-01-26,129.58
2017-01-25,128.8
2017-01-24,138.16
2017-01-23,137.78
2017-01-20,146.33
2017-01-19,141.03
2017-01-18,143.43
2017-01-17,131.55
2017-01-13,132.32
2017-01-12,126.22
2017-01-11,123.06
2017-01-10,121.84
2017-01-09,122.59
2017-01-06,123.67
2017-01-05,128.21
2017-01-04,124.4
2017-01-03,125.79
2016-12-30,127.26
2016-12-29,124.57
2016-12-28,122.37
2016-12-27,123.65
2016-12-23,120.51
2016-12-22,128.02
2016-12-21,124.9
2016-12-20,122.09
2016-12-19,130.47
2016-12-16,131.95
2016-12-15,129.44
2016-12-14,125.43
2016-12-13,119.34
2016-12-12,123.28
2016-12-09,119.51
2016-12-08,119.08
2016-12-07,123.61
2016-12-06,130.92
2016-12-05,128.35
2016-12-02,128.99
2016-12-01,128.37
2016-11-30,126.39
2016-11-29,128.31
2016-11-28,125.75
2016-11-25,126.27
2016-11-23,125.33
2016-11-22,127.98
2016-11-21,124.01
2016-11-18,126.38
2016-11-17,123.06
2016-11-16,123.77
2016-11-15,119.79
2016-11-14,122.71
2016-11-11,121.71
2016-11-10,127.0
2016-11-09,134.61
2016-11-08,135.6
2016-11-07,134.91
2016-11-04,133.03
2016-11-03,141.18
2016-11-02,126.15
2016-11-01,124.46
2016-10-31,126.12
2016-10-28,126.35
2016-10-27,122.35
2016-10-26,123.31
2016-10-25,122.83
2016-10-24,124.6
2016-10-21,123.0
2016-10-20,123.91
2016-10-19,122.56
2016-10-18,122.76
2016-10-17,124.08
2016-10-14,121.86
2016-10-13,123.32
2016-10-12,122.34
2016-10-11,119.79
2016-10-10,123.84
2016-10-07,119.95
2016-10-06,120.48
2016-10-05,121.54
2016-10-04,119.67
2016-10-03,122.86
2016-09-30,124.58
2016-09-29,122.67
2016-09-28,126.85
2016-09-27,123.74
2016-09-26,121.72
2016-09-23,125.13
2016-09-22,124.29
2016-09-21,122.13
2016-09-20,126.85
2016-09-19,125.81
2016-09-16,125.25
2016-09-15,130.57
2016-09-14,127.4
2016-09-13,131.56
2016-09-12,134.18
2016-09-09,125.25
2016-09-08,129.74
2016-09-07,130.94
2016-09-06,131.16
2016-09-02,128.4
2016-09-01,129.83
2016-08-31,129.25
2016-08-30,136.14
2016-08-29,131.3
2016-08-26,132.4
2016-08-25,131.06
2016-08-24,130.43
2016-08-23,131.79
2016-08-22,135.2
2016-08-19,136.58
2016-08-18,134.87
2016-08-17,136.71
2016-08-16,132.27
2016-08-15,134.45
2016-08-12,132.13
2016-08-11,131.28
2016-08-10,133.25
2016-08-09,135.56
2016-08-08,132.94
2016-08-05,130.6
2016-08-04,127.06
2016-08-03,129.99
2016-08-02,129.25
2016-08-01,128.01
2016-07-29,128.25
2016-07-28,128.51
2016-07-27,125.68
2016-07-26,130.02
2016-07-25,129.65
2016-07-22,128.36
2016-07-21,128.01
2016-07-20,128.49
2016-07-19,129.92
2016-07-18,125.38
2016-07-15,129.76
2016-07-14,128.28
2016-07-13,127.29
2016-07-12,126.1
2016-07-11,125.03
2016-07-08,127.2
2016-07-07,124.72
2016-07-06,123.14
2016-07-05,125.35
2016-07-01,128.53
2016-06-30,140.58
2016-06-29,136.46
2016-06-28,153.66
2016-06-27,136.43
2016-06-24,142.92
2016-06-23,145.7
