,0
2018-05-08,0.0021222855574621704
2018-05-09,0.002129518606448143
2018-05-10,0.0020382637102537918
2018-05-11,0.001975014943935558
2018-05-14,0.0019791555598280886
2018-05-15,0.0020692465360546072
2018-05-16,0.0020572210999891625
2018-05-17,0.0020588223860578004
2018-05-18,0.001973771672056572
2018-05-21,0.0021195867012979886
2018-05-22,0.0021774290188131848
2018-05-23,0.0021515090645962145
2018-05-24,0.0019413650082396189
2018-05-25,0.0020378259789441975
2018-05-29,0.002071935851161048
2018-05-30,0.0021810193804470577
2018-05-31,0.0022137575403201122
2018-06-01,0.002297374866675215
2018-06-04,0.00229869309143588
2018-06-05,0.002362599887148048
2018-06-06,0.002250672408262912
2018-06-07,0.002253592937292186
2018-06-08,0.0021539221303710013
2018-06-11,0.0021557733714799294
2018-06-12,0.00211385619820629
2018-06-13,0.002120712665007688
2018-06-14,0.0020516442542278784
2018-06-15,0.00198828602380675
2018-06-18,0.002024960797047126
2018-06-19,0.0023716962871307545
2018-06-20,0.002361057717524504
2018-06-21,0.002362351859535006
2018-06-22,0.0024552210414130627
2018-06-25,0.0027567233550209193
2018-06-26,0.0028568160728790716
2018-06-27,0.0029217903315075064
2018-06-28,0.002767149008950689
2018-06-29,0.0027388230871187033
2018-07-02,0.0029196264108241198
2018-07-03,0.0028898100455638453
2018-07-05,0.0028479069346698965
2018-07-06,0.002775333593804934
2018-07-09,0.0027040886887540606
2018-07-10,0.0028330404247462523
2018-07-11,0.003035599247082201
2018-07-12,0.003201721926639253
2018-07-13,0.0031042774623041363
2018-07-16,0.003582833200029343
2018-07-17,0.0034237558488548034
2018-07-18,0.0034304385369334704
2018-07-19,0.003492865187350647
2018-07-20,0.0034941705345816806
2018-07-23,0.0036831891159974026
2018-07-24,0.003748749190349884
2018-07-25,0.003474721245333297
2018-07-26,0.0034769878073907467
2018-07-27,0.0035466779070969633
2018-07-30,0.003595706769454299
2018-07-31,0.003377577912010186
2018-08-01,0.0034503744790558614
2018-08-02,0.005314410540991475
2018-08-03,0.005277729951456096
2018-08-06,0.005155273968854501
2018-08-07,0.005156146231222642
2018-08-08,0.005059991947651898
2018-08-09,0.005195204777954203
2018-08-10,0.004805943592491061
2018-08-13,0.004874054592719038
2018-08-14,0.0048734245697486306
2018-08-15,0.00493838317926582
2018-08-16,0.0048364896733989
2018-08-17,0.004827897151486653
2018-08-20,0.004724510450864865
2018-08-21,0.004764591414847474
2018-08-22,0.005510756633863042
2018-08-23,0.005525483051582979
2018-08-24,0.005572421800486196
2018-08-27,0.005598126338914797
2018-08-28,0.005567109120890418
2018-08-29,0.005496398420240544
2018-08-30,0.0055067905069650265
2018-08-31,0.00538134532117521
2018-09-04,0.00552191783353039
2018-09-05,0.005680087799713829
2018-09-06,0.005597998964476578
2018-09-07,0.005272486247013768
2018-09-10,0.005361410515591397
2018-09-11,0.005449839616474511
2018-09-12,0.005351945221553153
2018-09-13,0.005233539125506685
2018-09-14,0.005315255336360004
2018-09-17,0.005870848723969631
2018-09-18,0.0057049243552014985
2018-09-19,0.005695224046484382
2018-09-20,0.005535838987366421
2018-09-21,0.00556219401921294
2018-09-24,0.005607244991364207
2018-09-25,0.005521823449915631
2018-09-26,0.005481685037249359
2018-09-27,0.005355660576065681
2018-09-28,0.005289982608171086
2018-10-01,0.005295262474853296
2018-10-02,0.005269647721208657
2018-10-03,0.0050026442007211225
2018-10-04,0.0065107018593523625
2018-10-05,0.006365036817563847
2018-10-08,0.006414942895447022
2018-10-09,0.0062397665300465725
2018-10-10,0.00840763324391421
2018-10-11,0.010438501874115212
2018-10-12,0.009887105640792712
2018-10-15,0.010357019705514371
2018-10-16,0.009825925917106303
2018-10-17,0.00957491766849883
2018-10-18,0.009866874891493387
2018-10-19,0.010624398549460618
2018-10-22,0.01025360599450025
2018-10-23,0.01063895002024824
2018-10-24,0.013751870210245312
2018-10-25,0.013166095028549677
2018-10-26,0.014736539861392924
2018-10-29,0.014412927917955091
2018-10-30,0.014162727038219976
2018-10-31,0.014148968656426564
2018-11-01,0.029879852908657863
2018-11-02,0.031061669293979837
2018-11-05,0.02912553157982009
2018-11-06,0.029089225081613726
2018-11-07,0.028794172436829087
2018-11-08,0.02904270863093219
2018-11-09,0.02877939719905396
2018-11-12,0.029415180347713985
2018-11-13,0.029644682161479186
2018-11-14,0.030979662099496336
2018-11-15,0.03170596686248256
2018-11-16,0.031183247327213337
2018-11-19,0.03506833008331125
2018-11-20,0.036761229689679056
2018-11-21,0.03648993002562823
2018-11-23,0.035950621610457166
2018-11-26,0.03564696738987597
2018-11-27,0.035007860082773866
2018-11-28,0.03781170538429019
2018-11-29,0.03784246788974252
2018-11-30,0.036810598271720285
2018-12-03,0.03707387780305707
2018-12-04,0.04429309337218418
2018-12-06,0.04447837536802931
2018-12-07,0.051041181773000315
2018-12-10,0.04995444280728374
2018-12-11,0.04882562160662668
2018-12-12,0.04765151703790464
2018-12-13,0.04737892355335682
2018-12-14,0.05641020809037511
2018-12-17,0.07284117711758703
2018-12-18,0.07263270506736051
2018-12-19,0.07578394223312038
2018-12-20,0.07799189855014622
2018-12-21,0.07973181936051711
2018-12-24,0.09286952321007867
2018-12-26,0.10347940293878877
2018-12-27,0.09976725195327844
2018-12-28,0.09934692655625064
2018-12-31,0.10405013509871233
